Protein,log2FC,pvalue,padj
SEC61A1,-0.165626526450779,0.490650463392266,0.7004361288081041
PLOD1,-0.452119507904328,0.164331182130013,0.4022257815312231
SRPK1,0.180110124152812,0.461272173483118,0.6864870611537808
SF1,0.245020606941317,0.88290183698042,0.9385723703285793
HNRNPC,-0.132919382580479,0.663003052976096,0.8180456231443004
XRN2,0.238705153454934,0.0873479175964209,0.31006224152027945
TKT,-0.116023003919064,0.502608104232341,0.7087518124587362
TRAM1,-0.423281299271554,0.0369393091579451,0.22122085922054446
SFRS3,0.0859108947416019,0.696560951594078,0.8463590057003314
SLC30A6,0.0103397647344394,0.940351618027198,0.970897327264041
APC2,-0.64089487543508,0.507775130920885,0.7113048321577687
ILK,0.366227869709579,0.106030280403567,0.3299324915297818
NPEPPS,0.019838663518783,0.932249423260739,0.9660354558257297
HNRNPUL1,-0.262412361233313,0.229352618746197,0.4705024977607309
DNASE2,0.56556771662019,0.0423149699438409,0.2273997862724977
SMAD2,0.386820892885851,0.0197037523410595,0.18175706241140602
DECR1,0.273637788365274,0.553390433453531,0.7451811596454698
PRCP,0.0866211162521608,0.359456627408136,0.5935512440267219
DHCR24,0.362522545383591,0.182611105080424,0.42180285426890474
ACADM,0.294211054329988,0.113558838677696,0.33992447074383175
CPEB4,-0.0721704408077883,0.472067584625849,0.6907312143601507
DIAPH1,0.488038364872018,0.317735307571744,0.559520218267535
NCOR2,-0.119654703797675,0.236250387850534,0.4762640948749424
RPL37A,-1.74754238492333,0.170639554002015,0.4073718930048104
RPSA,0.690667054618299,0.0938253521263403,0.3138524197759805
NMD3,0.264683339499459,0.196417451108683,0.43597478514498134
SRSF7,0.0449093106874727,0.842172061466523,0.9224437119132514
NAPRT1,0.0602359546274265,0.786943186395994,0.8944635044031582
TMUB1,0.22565729733941,0.168501075735765,0.406355560686252
FAM195B,0.281957371058315,0.0360227587489139,0.21922090249135576
IQSEC1,-0.0695418817830245,0.446772338172417,0.6754011812379155
PRKRA,-0.377701734748616,0.125439341814648,0.36135777123799917
RPL24,0.184416401996749,0.626208656010127,0.8003194510365054
MBNL1,0.82574599110232,0.100389348107886,0.32488772323220383
CCNL1,-0.0847925935557896,0.794373910844672,0.8987540434479957
PHB,0.822367476255458,0.187662480919549,0.4288449345929099
LBR,-0.173896175125471,0.532132375254841,0.7288156217984204
RPL22L1,0.460949679624434,0.105478898754999,0.3299324915297818
RPL32,-0.0230752246182249,0.916861740351606,0.9574356937178282
RPL9,0.496702694685766,0.007118924952736,0.13565047345491807
SEC31A,-0.359572829959518,0.0730325099412422,0.28788396360559426
HNRNPLL,-0.183563386558674,0.182434340623588,0.42180285426890474
