date,total_cases,daily_cases,total_deaths,daily_deaths,people_vaccinated,,,,,,,,
29/12/2022,4445748,1742,218113,21,30218213,,,,,,,,
30/12/2022,4451074,5326,218146,33,30219626,,,,,,,,
31/12/2022,4454236,3162,218178,32,30220030,,,,,,,,
1/1/2023,4454236,0,218201,23,30220282,,,,,,,,
2/1/2023,4458643,4407,218232,31,30221930,,,,,,,,
3/1/2023,4459771,1128,218233,1,30224024,,,,,,,,
4/1/2023,4460100,329,218251,18,30226391,,,,,,,,
5/1/2023,4461129,1029,218284,33,30228697,,,,,,,,
6/1/2023,4463641,2512,218304,20,30231133,,,,,,,,
7/1/2023,4464732,1091,218330,26,30233291,,,,,,,,
8/1/2023,4466331,1599,218356,26,30233903,,,,,,,,
9/1/2023,4468875,2544,218357,1,30236616,,,,,,,,
10/1/2023,4469601,726,218387,30,30239230,,,,,,,,
11/1/2023,4470192,591,218413,26,30241766,,,,,,,,
12/1/2023,4470919,727,218414,1,30244226,,,,,,,,
13/1/2023,4471726,807,218455,41,30246940,,,,,,,,
14/1/2023,4473194,1468,218477,22,30249071,,,,,,,,
15/1/2023,4473821,627,218490,13,30249649,,,,,,,,
16/1/2023,4474580,759,218509,19,30252583,,,,,,,,
17/1/2023,4475426,846,218530,21,30255057,,,,,,,,
18/1/2023,4475610,184,218547,17,30257743,,,,,,,,
19/1/2023,4476123,513,218554,7,30259936,,,,,,,,
20/1/2023,4477064,941,218580,26,30262314,,,,,,,,
21/1/2023,4477551,487,218597,17,30264505,,,,,,,,
22/1/2023,4477955,404,218606,9,30265140,,,,,,,,
23/1/2023,4478692,737,218625,19,30268200,,,,,,,,
24/1/2023,4478971,279,218649,24,30271014,,,,,,,,
25/1/2023,4479075,104,218656,7,30273684,,,,,,,,
26/1/2023,4479583,508,218672,16,30276046,,,,,,,,
27/1/2023,4480009,426,218686,14,30278574,,,,,,,,
28/1/2023,4480454,445,218711,25,30280516,,,,,,,,
29/1/2023,4480828,374,218729,18,30281041,,,,,,,,
30/1/2023,4481101,273,218750,21,30283270,,,,,,,,
31/1/2023,4481246,145,218810,60,30284977,,,,,,,,
1/2/2023,4481290,44,218863,53,30287003,,,,,,,,
2/2/2023,4481621,331,218931,68,30289110,,,,,,,,
3/2/2023,4481873,252,219004,73,30291288,,,,,,,,
4/2/2023,4482120,247,219012,8,30293098,,,,,,,,
5/2/2023,4482310,190,219085,73,30293542,,,,,,,,
6/2/2023,4482497,187,219167,82,30295872,,,,,,,,
7/2/2023,4482582,85,219195,28,30298277,,,,,,,,
8/2/2023,4482629,47,219205,10,30300632,,,,,,,,
9/2/2023,4482852,223,219214,9,30302968,,,,,,,,
10/2/2023,4483036,184,219228,14,30305439,,,,,,,,
11/2/2023,4483236,200,219229,1,30307281,,,,,,,,
12/2/2023,4483443,207,219250,21,30307841,,,,,,,,
13/2/2023,4483619,176,219260,10,30310446,,,,,,,,
14/2/2023,4483729,110,219269,9,30312531,,,,,,,,
15/2/2023,4483779,50,219287,18,30314774,,,,,,,,
16/2/2023,4484029,250,219293,6,30317095,,,,,,,,
17/2/2023,4484173,144,219305,12,30319821,,,,,,,,
18/2/2023,4484362,189,219311,6,30322028,,,,,,,,
19/2/2023,4484531,169,219318,7,30322976,,,,,,,,
20/2/2023,4484651,120,219332,14,30325564,,,,,,,,
21/2/2023,4484769,118,219344,12,30328119,,,,,,,,
22/2/2023,4484810,41,219351,7,30330842,,,,,,,,
23/2/2023,4484903,93,219365,14,30333573,,,,,,,,
24/2/2023,4485003,100,219378,13,30336270,,,,,,,,
25/2/2023,4485147,144,219387,9,30338547,,,,,,,,
26/2/2023,4485282,135,219395,8,30339369,,,,,,,,
27/2/2023,4485616,334,219406,11,30341941,,,,,,,,
28/2/2023,4485684,68,219429,23,30344149,,,,,,,,
1/3/2023,4485753,69,219431,2,30346084,,,,,,,,
2/3/2023,4486034,281,219439,8,30347844,,,,,,,,
3/3/2023,4486282,248,219448,9,30349727,,,,,,,,
4/3/2023,4486453,171,219478,30,30351151,,,,,,,,
5/3/2023,4486665,212,219485,7,30351570,,,,,,,,
6/3/2023,4486832,167,219493,8,30353751,,,,,,,,
7/3/2023,4486832,0,219493,0,30355661,,,,,,,,
8/3/2023,4486934,102,219513,20,30357389,,,,,,,,
9/3/2023,4486934,0,219513,0,30359165,,,,,,,,
10/3/2023,4487553,619,219539,26,30360842,,,,,,,,
11/3/2023,4487770,217,219548,9,30362415,,,,,,,,
12/3/2023,4487956,186,219562,14,30362873,,,,,,,,
13/3/2023,4487956,0,219562,0,30364526,,,,,,,,
14/3/2023,4488139,183,219563,1,30366031,,,,,,,,
15/3/2023,4488259,120,219587,24,30367660,,,,,,,,
16/3/2023,4488338,79,219597,10,30369182,,,,,,,,
17/3/2023,4488611,273,219614,17,30371056,,,,,,,,
18/3/2023,4488920,309,219627,13,30372798,,,,,,,,
19/3/2023,4489147,227,219637,10,30373612,,,,,,,,
20/3/2023,4489377,230,219648,11,30374977,,,,,,,,
